"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cml400h8i0001if041l0i847n","Atomic","Atomic Glasbong | H: 46cm, Ø: 50mm, Schl.: 18,8mm","atomic-glasbong-h-46cm-50mm-schl-18-8mm","no_prices_found","17.99","","","","","0","1"
"cml405j1g0001kw0463jnmats","","Glas Wasserpfeife | 23cm ⌀40mm","glas-wasserpfeife-23-cm-40","no_prices_found","15.99","","","","","0","1"
"cml48klqv0001l1044651ayvf","","Glas Kolbenbong | 30cm ⌀45mm","glas-kolbenbong-30-cm-45","no_prices_found","10.99","","","","","0","1"
"cml48qfk30001jr04l4edkj91","","Glasbong ""Bubble Neck"" | 21cm ⌀25mm","glas-bubble-neck-21-cm-25","no_prices_found","10.99","","","","","0","1"
"cml48wt6i0001js04b4gqc18n","RAW","RAW Aschenbecher Metall Schwarz","raw-aschenbecher-metal-schwarz","ok","10.99","9.99","9.99","9.99","1","1","1"
"cml496p270004jp04btbooohg","RAW","RAW Aschenbecher","raw-aschenbecher","no_prices_found","2.99","","","","","0","1"
"cml49dxi9000fjs04d8cgb8fs","RAW","RAW Hands Free Smoker Aschenbecher","raw-hands-free-smoker-aschenbecher","no_prices_found","10.99","","","","","0","1"
"cml49kd80000njs04nltwns1b","RAW","RAW Dark Side Glas Aschenbecher","raw-dark-side-glas-aschenbecher","no_prices_found","16.99","","","","","0","1"
"cml49sq460001l804ibpmkdjg","RAW","RAW Ruby Red Glas Aschenbecher","raw-ruby-red-glas-aschenbecher","no_prices_found","17.99","","","","","0","1"
"cml4a0z4x0007jx042zt5kl15","RAW","RAW Rainbow Glas Aschenbecher","raw-rainbow-glas-aschenbecher","no_prices_found","16.99","","","","","0","1"
"cml80la9e000jl504048jboog","AutoPot","AutoPot Topf 25Liter XL","autopot-topf-25liter-xl","ok","8.99","8.9","8.9","8.9","1","1","1"
"cml85ozd20001js04kx22bhts","","Growbox Komplettset 120x120","growbox-komplettset-120x120","no_prices_found","1197.99","","","","","0","1"
"cml86f0lo0002l5045mplyj5y","Homebox","Ambient Q100 Grow Set 100x100x200cm","homebox-ambient-q100-grow-set-100-100-200-cm","no_prices_found","739.99","","","","","0","1"
"cml86vurg0006js047pk5i2x0","Homebox","Q100+ Grow Set 100x100x220cm","homebox-ambient-q100-grow-set-100-100-220-cm","no_prices_found","739.99","","","","","0","1"
"cml8718bf0002l404ocynx12l","Homebox","Ambient Q120 Grow Set 120x120x200cm","homebox-ambient-q120-grow-set-120-120-200-cm","no_prices_found","751.99","","","","","0","1"
"cml876lkw0003l804tn9uqget","Homebox","Ambient Q120+ Grow Set 120x120x220cm","homebox-ambient-q120-grow-set-120-120-220-cm","no_prices_found","798.99","","","","","0","1"
"cml87emxa000jl804ev41to27","Homebox","Ambient Q60+ Grow Set 60x60x160","homebox-ambient-q60-grow-set-60-60-160-cm","no_prices_found","398.99","","","","","0","1"
"cml87m1650016l404ooc3eqjw","Homebox","Ambient Q80+ Grow Set 80x80x180","homebox-ambient-q80-grow-set-80-80-180-cm","no_prices_found","468.99","","","","","0","1"
"cml87ts9g000wl804hpfqyjfc","Secret Jardin","Hydro Shoot 100 Grow Set 100x100x200cm","secret-jardin-hydro-shoot-100-grow-set-100-100-200-cm","no_prices_found","586.99","","","","","0","1"
"cml881pfu0009k10433q88b95","Secret Jardin","Hydro Shoot 120 Grow Set 120x120x200cm","secret-jardin-hydro-shoot-100-grow-set-120-120-200-cm","no_prices_found","621.99","","","","","0","1"
"cml885sis000ik104gqmoscp6","Secret Jardin","Hydro Shoot 60 Grow Set 60x60x158cm","secret-jardin-hydro-shoot-60-grow-set-60-60-158-cm","no_prices_found","327.99","","","","","0","1"
"cml88a84y000pjr04ex4p4c82","Secret Jardin","Hydro Shoot 80 Grow Set 80x80x178cm","secret-jardin-hydro-shoot-80-grow-set-80-80-188-cm","no_prices_found","351.99","","","","","0","1"
"cml88durq001ejr04oc84z33t","Secret Jardin","Growbox For Twenty 100 Komplettset 60x40x116cm","secret-jardin-growbox-for-twenty-100-komplettset-60-40-116-cm","no_prices_found","493.99","","","","","0","1"
"cml9p5tt50001jj04ft29ndu8","Hydroponic Research","Shine Bloom Additive 2,27kg","hydroponic-research-shine-bloom-additive-2-27kg","ok","174.99","192.59","192.59","192.59","1","1","1"
"cml9pk0880006kz04uiap4w0s","BioBizz","Bio-Grow 250 ml","biobizz-bio-grow-250-ml","ok","2.99","3.9","3.9","3.9","1","1","1"
"cml9pnj8u000ple046fj7m8z7","BioBizz","Bio-Grow 500ml","biobizz-bio-grow-500-ml","ok","4.99","27.9","27.9","27.9","1","1","1"
"cml9pptym000xkz041rn9xrfv","BioBizz","Bio-Grow 1L","biobizz-bio-grow-1-l","ok","7.99","19.99","19.99","19.99","1","1","1"
"cml9ptfjr000rjq04rqlvcc5t","BioBizz","Bio-Grow 5L","biobizz-bio-grow-5-l","no_prices_found","28.99","","","","","0","1"
"cml9q2lk2000fjr04d6bzsnix","BioBizz","Dünger Starter Pack Indoor","biobizz-try-pack-indoor","ok","10.99","12.9","12.9","12.9","1","1","1"
"cmlat6esl000nkz04vpnwe3qe","BioBizz","Dünger Starter Pack Outdoor","biobizz-try-pack-outdoor","ok","10.99","12.9","12.9","12.9","1","1","1"
"cmlates5r001vkz04746uqydk","BioBizz","Dünger Starter Pack Stimulant","biobizz-try-pack-stimulant","ok","17.99","24.9","24.9","24.9","1","1","1"
"cmlazbdxh0001u91smib0tfid","BioBizz","Leaf Coat 1 Liter","leaf-coat-1-liter-biobizz","ok","12.99","89.7","89.7","89.7","1","1","1"
"cmlazbe280005u91s8jzff29d","BioBizz","Leaf Coat 5 Liter","leaf-coat-5-liter-biobizz","ok","60.99","89.7","89.7","89.7","1","1","1"
"cmlazbe4s0009u91si4rotp18","BioBizz","Leaf Coat 500 ml Sprüher","leaf-coat-500-ml-spr-her-biobizz","ok","8.49","11.46","11.46","11.46","1","1","1"
"cmlazbebo000du91si6p4a9qg","BioBizz","FishMix 250 ml","fishmix-250-ml-biobizz","ok","2.99","3.9","3.9","3.9","1","1","1"
"cmlazbee4000hu91se4gecwl0","BioBizz","FishMix 500 ml","fishmix-500-ml-biobizz","ok","4.99","6.9","6.9","6.9","1","1","1"
"cmlazbegc000lu91sz9gntxqd","BioBizz","FishMix 1 Liter","fishmix-1-liter-biobizz","ok","8.49","10.9","10.9","10.9","1","1","1"
"cmlazbeil000pu91sj4hmdhqu","BioBizz","FishMix 5 Liter","fishmix-5-liter-biobizz","ok","28.99","10.9","10.9","10.9","1","1","1"
"cmlazbekk000tu91sgomgo593","BioBizz","Bio-Bloom 250 ml","bio-bloom-250-ml-biobizz","ok","2.99","3.9","3.9","3.9","1","1","1"
"cmlazbemk000xu91sdmaamva9","BioBizz","Bio-Bloom 500 ml","bio-bloom-500-ml-biobizz","ok","4.99","6.9","6.9","6.9","1","1","1"
"cmlazbeop0011u91s3hk56rpv","BioBizz","Bio-Bloom 1 Liter","bio-bloom-1-liter-biobizz","ok","10.99","11.9","11.9","11.9","1","1","1"
"cmlazbeqo0015u91s1gbnwmn1","BioBizz","Bio-Bloom 5 Liter","bio-bloom-5-liter-biobizz","ok","34.99","11.9","11.9","11.9","1","1","1"
"cmlazbets0019u91sjgoknt9u","BioBizz","Root Juice 250ml","root-juice-250ml-biobizz","ok","10.99","13.9","13.9","13.9","1","1","1"
"cmlazbevw001du91sgh3y6k16","BioBizz","Root Juice 500ml","root-juice-500ml-biobizz","ok","19.99","27.9","27.9","27.9","1","1","1"
"cmlazbey5001hu91sks4zd7x9","BioBizz","Root Juice 1 Liter","root-juice-1-liter-biobizz","ok","32.99","42.9","42.9","42.9","1","1","1"
"cmlazbf04001lu91s80q1xlw6","BioBizz","Bio Heaven 250ml","bio-heaven-250ml-biobizz","ok","14.99","19.9","19.9","19.9","1","1","1"
"cmlazbf28001pu91sge2zr7lo","BioBizz","Bio Heaven 500ml","bio-heaven-500ml-biobizz","ok","26.99","34.9","34.9","34.9","1","1","1"
"cmlazbf4c001tu91se4isqbsa","BioBizz","Bio Heaven 1 Liter","bio-heaven-1-liter-biobizz","ok","32.99","199.9","199.9","199.9","1","1","1"
